Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,83,0.13111425340505536,0.004622548819296076,0.0010543814148148488,0.12340957035203455,0.3468071976658987,0.11897342456301109
101,101,8,4,0,10000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,80,0.08780392945102988,3.66982607102127e-06,0.10036931148576368,0.004244985869040184,0.17359075843267055,0.06955218140338634
101,101,8,4,0,15000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,61,0.04179718166339571,0.0002965104175683609,0.0004968225764033356,4.8766639359217865e-06,0.0006004483139083881,0.0003496644929540016
101,101,8,4,0,20000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,15,69,0.027008388978555092,1.5294283313885396e-05,0.0005882992033517615,1.0319200923830654e-06,0.002095519723248472,0.0006750362825016258
101,101,8,4,0,25000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,16,53,0.028395178598643735,1.308380501378957e-06,0.0047520563396680525,3.746597075794209e-05,0.0006287776645899936,0.0013549020888793417
101,101,8,4,0,30000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,83,0.06466328588916191,1.5507626761743812e-06,6.311860893407466e-06,0.0266517204469853,8.134342871512317e-06,0.006666929353356599
101,101,8,4,0,35000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,68,0.05837008455604988,1.060994510873896e-07,2.1176374686727495e-05,0.3710102491345957,0.0014786410316418356,0.09312754316009385
101,101,8,4,0,40000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,81,0.08053089899877455,3.852611766199404e-07,0.0015444835365235983,0.2775758078865828,3.402938158548462e-05,0.06978867651646714
101,101,8,4,0,45000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,13,52,0.035088338214948674,9.666527435268623e-08,7.543942829456005e-06,0.08250256171523061,1.6970070960049138e-07,0.020627593006011
101,101,8,4,0,50000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,59,0.029621343141528443,2.621507900883532e-07,0.005707314029829063,0.17383032801866308,8.87703372815949e-08,0.044884498242404855
101,101,8,4,0,55000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,62,0.007169384232753546,8.658669461223972e-09,0.21531708104986755,0.4171514129313191,9.014733211859133e-08,0.15811714819679706
101,101,8,4,0,60000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,66,0.02496611841561706,2.9493856732262523e-06,0.24628017096582483,0.47447337949431423,1.420628492795291e-07,0.1801891604771654
101,101,8,4,0,65000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,73,0.016993146537466117,4.971578953103147e-07,0.1839807940132218,0.541624927865344,2.0485901122098116e-07,0.18140160597386815
101,101,8,4,0,70000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,58,0.0018291532502070736,6.479917212538905e-08,0.23308871733054695,0.9510155784383438,2.5137108999708947e-09,0.2960260907704433
101,101,8,4,0,75000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,73,0.012728476021257623,4.3634077768181095e-09,0.000544473915628425,0.9636810544185953,1.015199407334869e-07,0.24105640855439314
101,101,8,4,0,80000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,65,0.014672481979902424,9.386710277674286e-08,0.00013094465951828108,0.9470725074540567,1.392344334558706e-05,0.23680436735600574
101,101,8,4,0,85000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,66,0.006748020544314147,1.1279660928016526e-09,2.0714105543058925e-06,0.9555646256313765,2.9627512294356976e-07,0.2388917486112548
101,101,8,4,0,90000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,65,0.018572612104661292,4.404560242494583e-09,3.9894853725073316e-08,0.9226198341291212,3.973884988152159e-05,0.23066490431960415
101,101,8,4,0,95000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,68,0.05237056655766273,3.1586099037778655e-09,0.0003887331077033297,0.8653033203859641,1.1269073771246499e-05,0.2164258314315122
101,101,8,4,0,100000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,77,0.07564550826679774,2.4606253790636322e-08,0.00011306633683505691,0.5847313991006364,1.8569948091000935e-06,0.14621158675963367
