"Total Kinase","Total Phosphatase","Timestep","Patch Length","dPIP","alphaEnzyme","k_mkon","k_koff","p_mkon","p_koff","k_mkcat","k_mKm","p_mkcat","p_mKm","Kinase in Solution","Phosphatase in Solution","Average Body X","Average Node 1 X","Average Node 2 X","Average Node 3 X","Average Node 4 X","Average All Nodes X"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","162","32","0.10332399671628444","0.001190586370648919","5.903529319600272E-11","8.041948788719202E-9","0.9102694845103166","0.22786501974548726"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","352","3","0.15390090027344464","0.12391807428572368","0.5774609622510427","0.08152415606836984","0.3617024949230499","0.28615142188204623"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","27","9.011766669926514E-16","1.2337108550740956E-12","8.261483857947983E-20","3.1969850804735304E-20","7.717056268975379E-17","3.084470350553689E-13"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","613","1","0.9163051305617753","0.9999998223235826","0.31145714755240056","0.45670757240167953","0.5665400918365804","0.5836761585285609"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","74","260","0.05870841648637324","2.2268297044499164E-5","1.179478313283399E-5","4.332717278498289E-6","0.39415806661431363","0.09854911560294237"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","946","198","1.889997133331377E-16","3.199390249434069E-17","2.036840964174921E-21","2.44954151586362E-17","6.525565212619664E-20","1.4139152536516845E-17"
"857.85344995924","962.7875334959463","0.01","0.5","3.0","0.2","0.040336159502275155","0.19603952667535876","0.3344885669577656","0.0796557446186687","10.0","0.5","15.0","0.5","842","106","0.013335634311322791","0.5834085111602648","2.6160623196484236E-18","5.652383927580391E-16","4.059596949181671E-7","0.14585222927999014"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","906","242","0.0038425579919651614","8.63794689612699E-9","1.9704222607267973E-9","3.8456871642047954E-10","1.306754758315939E-15","2.748234795007258E-9"
"732.8569510342502","727.5205913211213","0.01","0.5","3.0","0.2","0.06205643359145243","0.22736074723785854","0.03705028279568192","0.03533350548017377","10.0","0.5","15.0","0.5","708","231","0.05011748054474915","3.5333656337593986E-6","8.11893566694033E-6","0.006487271562349859","0.33666598927660585","0.08579122828506408"
"50.68215759858663","641.1385984069093","0.01","0.5","3.0","0.2","0.011085352046806874","0.049134288161944324","0.18313380825940598","0.0457281414975051","10.0","0.5","15.0","0.5","46","58","0.005914336015688361","6.044328413210187E-4","4.075912644926663E-16","6.851339927579219E-16","7.647215802964625E-6","1.5302001428126893E-4"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","21","8.365689756073197E-15","1.0596234409806363E-16","3.074296835301022E-22","1.243620931024828E-17","1.0465066340006559E-11","2.6162961847168493E-12"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","363","5","0.1432050334364672","6.661531596416346E-4","0.37028011895446905","0.7665170561085716","0.02328108815729366","0.290186104094994"
"732.8569510342502","727.5205913211213","0.01","0.5","3.0","0.2","0.06205643359145243","0.22736074723785854","0.03705028279568192","0.03533350548017377","10.0","0.5","15.0","0.5","693","235","0.06456400001710627","0.013741573561693891","0.6359966080152906","0.04533613259632778","3.9828246082107986E-9","0.17376857953903407"
"857.85344995924","962.7875334959463","0.01","0.5","3.0","0.2","0.040336159502275155","0.19603952667535876","0.3344885669577656","0.0796557446186687","10.0","0.5","15.0","0.5","816","127","0.059201690967324895","0.5504096242877666","5.9243844901786855E-19","2.2796953608095537E-14","0.997937645650685","0.38708681748461876"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","581","2","0.8812570562176635","0.9997727920097684","0.9998627213001781","0.24891935434923423","0.9992809834488912","0.8119589627770187"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","203","27","0.04068155347909819","9.38930037095048E-5","3.131150877802934E-12","2.737013570914529E-7","0.9431892073741375","0.23582084352058374"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","946","214","1.2717277331941862E-13","5.167117416408829E-16","6.676146504459002E-24","2.8947509934618015E-21","2.3125575899532366E-12","5.782685761490763E-13"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","67","270","0.05495344932610595","0.3523907653738045","0.06916233878512598","0.5797876764383285","7.690122954358973E-4","0.2505274482231736"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","908","248","0.002112338570390963","1.9211417915902357E-5","1.7450902747478583E-9","2.511666273226757E-12","3.8147403100748643E-10","4.803386747968592E-6"
"50.68215759858663","641.1385984069093","0.01","0.5","3.0","0.2","0.011085352046806874","0.049134288161944324","0.18313380825940598","0.0457281414975051","10.0","0.5","15.0","0.5","42","52","0.007648561652894907","0.29205548632370765","6.337480857876144E-8","3.0024077316226217E-10","0.08459114403600328","0.09416167350869012"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","345","2","0.146676970404699","0.530013039991059","0.9677045884129867","0.4553487175913061","0.217221272205218","0.5425719045501423"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","19","1.2982019416497363E-12","1.8659962472038247E-10","3.25188971723839E-20","1.355013627329929E-19","6.362004177309651E-14","4.666581123254397E-11"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","604","2","0.8644528555612239","0.7974763100655772","0.31677293992227507","0.9149220205264472","0.999845585391915","0.7572542139765538"
"732.8569510342502","727.5205913211213","0.01","0.5","3.0","0.2","0.06205643359145243","0.22736074723785854","0.03705028279568192","0.03533350548017377","10.0","0.5","15.0","0.5","714","217","0.025222940694469117","0.20836391868727516","6.362717900710716E-9","0.8888486327946273","1.3450568689757136E-6","0.27430347572537206"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","172","31","0.07252159730330011","0.5105117745195225","6.039005487889159E-12","1.6337239652597974E-7","0.4668384112647247","0.24433758729067073"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","942","191","3.102371308997571E-5","1.4928537986902167E-18","1.0032511282691622E-23","3.3727985587210886E-19","0.17959668464287","0.0448991711607175"
